Start,Finish,Steps (count)
24-Jan-2015 00:00,25-Jan-2015 00:00,102.0
25-Jan-2015 00:00,26-Jan-2015 00:00,7711.0
26-Jan-2015 00:00,27-Jan-2015 00:00,2377.0
27-Jan-2015 00:00,28-Jan-2015 00:00,8862.0
28-Jan-2015 00:00,29-Jan-2015 00:00,7524.0
29-Jan-2015 00:00,30-Jan-2015 00:00,3807.0
30-Jan-2015 00:00,31-Jan-2015 00:00,4774.0
31-Jan-2015 00:00,01-Feb-2015 00:00,9600.0
01-Feb-2015 00:00,02-Feb-2015 00:00,4199.0
02-Feb-2015 00:00,03-Feb-2015 00:00,9475.0
03-Feb-2015 00:00,04-Feb-2015 00:00,3964.0
04-Feb-2015 00:00,05-Feb-2015 00:00,4314.0
05-Feb-2015 00:00,06-Feb-2015 00:00,1260.0
06-Feb-2015 00:00,07-Feb-2015 00:00,3167.0
07-Feb-2015 00:00,08-Feb-2015 00:00,5242.0
08-Feb-2015 00:00,09-Feb-2015 00:00,5759.0
09-Feb-2015 00:00,10-Feb-2015 00:00,10285.0
10-Feb-2015 00:00,11-Feb-2015 00:00,8253.0
11-Feb-2015 00:00,12-Feb-2015 00:00,3337.0
12-Feb-2015 00:00,13-Feb-2015 00:00,4398.0
13-Feb-2015 00:00,14-Feb-2015 00:00,3690.0
14-Feb-2015 00:00,15-Feb-2015 00:00,8072.0
15-Feb-2015 00:00,16-Feb-2015 00:00,6787.0
16-Feb-2015 00:00,17-Feb-2015 00:00,5575.0
17-Feb-2015 00:00,18-Feb-2015 00:00,11046.0
18-Feb-2015 00:00,19-Feb-2015 00:00,5713.0
19-Feb-2015 00:00,20-Feb-2015 00:00,5535.0
20-Feb-2015 00:00,21-Feb-2015 00:00,10903.0
21-Feb-2015 00:00,22-Feb-2015 00:00,73.0
22-Feb-2015 00:00,23-Feb-2015 00:00,951.0
23-Feb-2015 00:00,24-Feb-2015 00:00,7568.0
24-Feb-2015 00:00,25-Feb-2015 00:00,9596.0
25-Feb-2015 00:00,26-Feb-2015 00:00,3180.0
26-Feb-2015 00:00,27-Feb-2015 00:00,4149.0
27-Feb-2015 00:00,28-Feb-2015 00:00,3860.0
28-Feb-2015 00:00,01-Mar-2015 00:00,3897.0
01-Mar-2015 00:00,02-Mar-2015 00:00,10877.0
02-Mar-2015 00:00,03-Mar-2015 00:00,0.0
03-Mar-2015 00:00,04-Mar-2015 00:00,9387.0
04-Mar-2015 00:00,05-Mar-2015 00:00,1784.0
05-Mar-2015 00:00,06-Mar-2015 00:00,7969.0
06-Mar-2015 00:00,07-Mar-2015 00:00,14349.0
07-Mar-2015 00:00,08-Mar-2015 00:00,13359.0
08-Mar-2015 00:00,09-Mar-2015 00:00,6591.0
09-Mar-2015 00:00,10-Mar-2015 00:00,7809.0
10-Mar-2015 00:00,11-Mar-2015 00:00,10102.0
11-Mar-2015 00:00,12-Mar-2015 00:00,3205.0
12-Mar-2015 00:00,13-Mar-2015 00:00,4345.0
13-Mar-2015 00:00,14-Mar-2015 00:00,3051.0
14-Mar-2015 00:00,15-Mar-2015 00:00,1852.0
15-Mar-2015 00:00,16-Mar-2015 00:00,2593.0
16-Mar-2015 00:00,17-Mar-2015 00:00,8559.0
17-Mar-2015 00:00,18-Mar-2015 00:00,12321.0
